identifier,data_type,num_files,num_bytes,dandiset_schemaver,url,nwb_version,validation_summary,max_file_size,min_file_size
DANDI:000114,,0,0,0.6.0,https://dandiarchive.org/dandiset/000114/draft,,,,
DANDI:000115,Neurodata Without Borders (NWB),57,9103698757665,0.6.0,https://dandiarchive.org/dandiset/000115/draft,,,218539827424.0,89266288454.0
DANDI:000116,,0,0,0.6.0,https://dandiarchive.org/dandiset/000116/draft,,,,
DANDI:000117,Neurodata Without Borders (NWB),197,142552658,0.6.0,https://dandiarchive.org/dandiset/000117/draft,2.3.0,BEST_PRACTICE_VIOLATION,2841484.0,210462.0
DANDI:000118,,0,0,0.6.0,https://dandiarchive.org/dandiset/000118/draft,,,,
DANDI:000119,,0,0,0.6.0,https://dandiarchive.org/dandiset/000119/draft,,,,
DANDI:000120,,0,0,0.6.0,https://dandiarchive.org/dandiset/000120/draft,,,,
DANDI:000121,,0,0,0.6.0,https://dandiarchive.org/dandiset/000121/draft,,,,
DANDI:000122,Neurodata Without Borders (NWB),5,49898320,0.6.0,https://dandiarchive.org/dandiset/000122/draft,2.3.0,BEST_PRACTICE_VIOLATION,10807304.0,8817320.0
DANDI:000123,,0,0,0.6.0,https://dandiarchive.org/dandiset/000123/draft,,,,
DANDI:000124,,0,0,0.6.0,https://dandiarchive.org/dandiset/000124/draft,,,,
DANDI:000125,,0,0,0.6.0,https://dandiarchive.org/dandiset/000125/draft,,,,
DANDI:000126,Neurodata Without Borders (NWB),5,167058036,0.6.0,https://dandiarchive.org/dandiset/000126/draft,2.2.5,BEST_PRACTICE_VIOLATION,50331648.0,171408.0
DANDI:000127,Neurodata Without Borders (NWB),2,1823368810,0.6.0,https://dandiarchive.org/dandiset/000127/draft,2.4.0,,1822876234.0,492576.0
DANDI:000128,Neurodata Without Borders (NWB),2,694004935,0.6.0,https://dandiarchive.org/dandiset/000128/draft,2.4.0,,690612247.0,3392688.0
DANDI:000129,Neurodata Without Borders (NWB),2,50965512,0.6.0,https://dandiarchive.org/dandiset/000129/draft,2.4.0,,49764168.0,1201344.0
DANDI:000130,Neurodata Without Borders (NWB),2,15673496,0.6.0,https://dandiarchive.org/dandiset/000130/draft,2.4.0,,14119912.0,1553584.0
DANDI:000131,,0,0,0.6.0,https://dandiarchive.org/dandiset/000131/draft,,,,
DANDI:000132,,0,0,0.6.0,https://dandiarchive.org/dandiset/000132/draft,,,,
DANDI:000133,,0,0,0.6.0,https://dandiarchive.org/dandiset/000133/draft,,,,
DANDI:000134,,0,0,0.6.0,https://dandiarchive.org/dandiset/000134/draft,,,,
DANDI:000135,,0,0,0.6.0,https://dandiarchive.org/dandiset/000135/draft,,,,
DANDI:000136,,0,0,0.6.0,https://dandiarchive.org/dandiset/000136/draft,,,,
DANDI:000137,,0,0,0.6.0,https://dandiarchive.org/dandiset/000137/draft,,,,
DANDI:000138,Neurodata Without Borders (NWB),2,149392888,0.6.0,https://dandiarchive.org/dandiset/000138/draft,2.4.0,,148590536.0,802352.0
DANDI:000139,Neurodata Without Borders (NWB),2,77300692,0.6.0,https://dandiarchive.org/dandiset/000139/draft,2.4.0,,76604764.0,695928.0
DANDI:000140,Neurodata Without Borders (NWB),2,29896840,0.6.0,https://dandiarchive.org/dandiset/000140/draft,2.4.0,,29207528.0,689312.0
DANDI:000141,,0,0,0.6.0,https://dandiarchive.org/dandiset/000141/draft,,,,
DANDI:000142,Neurodata Without Borders (NWB),717,26800026646,0.6.0,https://dandiarchive.org/dandiset/000142/draft,2.3.0,"PYNWB_VALIDATION,BEST_PRACTICE_VIOLATION",97087781.0,8563361.0
DANDI:000143,Brain Imaging Data Structure (BIDS),50,9999341,0.6.0,https://dandiarchive.org/dandiset/000143/draft,,,,
DANDI:000144,Neurodata Without Borders (NWB),2,589064856,0.6.0,https://dandiarchive.org/dandiset/000144/draft,2.4.0,"CRITICAL,BEST_PRACTICE_VIOLATION",524476688.0,64588168.0
DANDI:000145,,0,0,0.6.0,https://dandiarchive.org/dandiset/000145/draft,,,,
DANDI:000146,,0,0,0.6.0,https://dandiarchive.org/dandiset/000146/draft,,,,
DANDI:000147,Neurodata Without Borders (NWB),10,77665528,0.6.0,https://dandiarchive.org/dandiset/000147/draft,2.3.0,BEST_PRACTICE_VIOLATION,10572264.0,4903432.0
DANDI:000148,Neurodata Without Borders (NWB),46,929635440,0.6.0,https://dandiarchive.org/dandiset/000148/draft,2.4.0,,34838864.0,10208736.0
DANDI:000149,Neurodata Without Borders (NWB),4,1980839948948,0.6.0,https://dandiarchive.org/dandiset/000149/draft,,,654857664875.0,390724186200.0
DANDI:000150,,0,0,0.6.0,https://dandiarchive.org/dandiset/000150/draft,,,,
DANDI:000151,,0,0,0.6.0,https://dandiarchive.org/dandiset/000151/draft,,,,
DANDI:000152,,0,0,0.6.0,https://dandiarchive.org/dandiset/000152/draft,,,,
DANDI:000153,,0,0,0.6.0,https://dandiarchive.org/dandiset/000153/draft,,,,
DANDI:000154,,0,0,0.6.0,https://dandiarchive.org/dandiset/000154/draft,,,,
DANDI:000155,,0,0,0.6.0,https://dandiarchive.org/dandiset/000155/draft,,,,
DANDI:000156,,0,0,0.6.0,https://dandiarchive.org/dandiset/000156/draft,,,,
DANDI:000157,,0,0,0.6.0,https://dandiarchive.org/dandiset/000157/draft,,,,
DANDI:000158,,0,0,0.6.0,https://dandiarchive.org/dandiset/000158/draft,,,,
DANDI:000159,,0,0,0.6.0,https://dandiarchive.org/dandiset/000159/draft,,,,
DANDI:000160,,0,0,0.6.0,https://dandiarchive.org/dandiset/000160/draft,,,,
DANDI:000161,,0,0,0.6.0,https://dandiarchive.org/dandiset/000161/draft,,,,
DANDI:000162,,0,0,0.6.0,https://dandiarchive.org/dandiset/000162/draft,,,,
DANDI:000163,,0,0,0.6.0,https://dandiarchive.org/dandiset/000163/draft,,,,
DANDI:000164,,0,0,0.6.0,https://dandiarchive.org/dandiset/000164/draft,,,,
DANDI:000165,Neurodata Without Borders (NWB),572,98043538088,0.6.0,https://dandiarchive.org/dandiset/000165/draft,2.4.0,BEST_PRACTICE_VIOLATION,374500776.0,23312384.0
DANDI:000166,Neurodata Without Borders (NWB),19,787191910918,0.6.0,https://dandiarchive.org/dandiset/000166/draft,,,70303367653.0,15410023197.0
DANDI:000167,Neurodata Without Borders (NWB),5,975789016,0.6.0,https://dandiarchive.org/dandiset/000167/draft,2.4.0,"CRITICAL,BEST_PRACTICE_VIOLATION",240255004.0,163255520.0
DANDI:000168,Neurodata Without Borders (NWB),170,1379111602445,0.6.0,https://dandiarchive.org/dandiset/000168/draft,2.4.0,"CRITICAL,BEST_PRACTICE_VIOLATION",23075925323.0,898056452.0
DANDI:000169,,0,0,0.6.0,https://dandiarchive.org/dandiset/000169/draft,,,,
DANDI:000170,,0,0,0.6.0,https://dandiarchive.org/dandiset/000170/draft,,,,
DANDI:000171,,0,0,0.6.0,https://dandiarchive.org/dandiset/000171/draft,,,,
DANDI:000172,,0,0,0.6.0,https://dandiarchive.org/dandiset/000172/draft,,,,
DANDI:000173,Neurodata Without Borders (NWB),118,240963992,0.6.0,https://dandiarchive.org/dandiset/000173/draft,2.4.0,BEST_PRACTICE_VIOLATION,8550848.0,181576.0
DANDI:000206,Neurodata Without Borders (NWB),1,118359600,0.6.0,https://dandiarchive.org/dandiset/000206/draft,2.4.0,CRITICAL,118359600.0,118359600.0
DANDI:000207,Neurodata Without Borders (NWB),19,50344811,0.6.0,https://dandiarchive.org/dandiset/000207/draft,2.4.0,"CRITICAL,BEST_PRACTICE_VIOLATION",5154008.0,1354356.0
DANDI:000208,,0,0,0.6.0,https://dandiarchive.org/dandiset/000208/draft,,,,
DANDI:000209,Neurodata Without Borders (NWB),291,11109213211,0.6.0,https://dandiarchive.org/dandiset/000209/draft,2.3.0,"PYNWB_VALIDATION,BEST_PRACTICE_VIOLATION",93319879.0,13416890.0
DANDI:000210,,0,0,0.6.0,https://dandiarchive.org/dandiset/000210/draft,,,,
DANDI:000211,Neurodata Without Borders (NWB),129,252235346,0.6.0,https://dandiarchive.org/dandiset/000211/draft,2.2.5,,5553162.0,708298.0
DANDI:000212,Neurodata Without Borders (NWB),929,8226021592,0.6.0,https://dandiarchive.org/dandiset/000212/draft,2.4.0,BEST_PRACTICE_VIOLATION,10005584.0,7162088.0
DANDI:000213,Neurodata Without Borders (NWB),67,1527009268863,0.6.0,https://dandiarchive.org/dandiset/000213/draft,2.4.0,"CRITICAL,BEST_PRACTICE_VIOLATION",138924449692.0,631177708.0
DANDI:000214,,0,0,0.6.0,https://dandiarchive.org/dandiset/000214/draft,,,,
DANDI:000215,,0,0,0.6.0,https://dandiarchive.org/dandiset/000215/draft,,,,
DANDI:000216,,0,0,0.6.0,https://dandiarchive.org/dandiset/000216/draft,,,,
DANDI:000217,Neurodata Without Borders (NWB),1121,2152038728,0.6.2,https://dandiarchive.org/dandiset/000217/draft,2.4.0,BEST_PRACTICE_VIOLATION,18114880.0,176608.0
